epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.841,1.85201,2.55296,1.32006,0.52657,0.51416,0.49187,0.23605,1.82052,1.58334,1.35712,0.000554148,0.000554148,0.000554148
2,129.838,1.82219,1.91576,1.36253,0.5453,0.45805,0.50502,0.26386,1.57492,1.77458,1.30164,0.000999943,0.000999943,0.000999943
3,156.95,1.7469,1.67579,1.33568,0.73047,0.57975,0.64294,0.34668,1.57841,1.2503,1.30956,0.00133572,0.00133572,0.00133572
4,184.096,1.69822,1.53749,1.30732,0.68853,0.62072,0.65813,0.36771,1.45852,1.19919,1.24795,0.0011719,0.0011719,0.0011719
5,211.117,1.62024,1.3857,1.26167,0.73392,0.63873,0.71318,0.4172,1.36499,1.08201,1.18822,0.00100687,0.00100687,0.00100687
6,238.286,1.57026,1.29992,1.22222,0.71041,0.69205,0.73114,0.42188,1.35124,1.08506,1.20626,0.000841835,0.000841835,0.000841835
7,265.372,1.51592,1.21832,1.20413,0.763,0.71211,0.75851,0.4502,1.32339,1.04365,1.17517,0.000676802,0.000676802,0.000676802
8,292.432,1.46882,1.17321,1.17297,0.68722,0.71685,0.74542,0.43746,1.31607,1.04913,1.16252,0.000511769,0.000511769,0.000511769
9,319.492,1.41202,1.07916,1.14526,0.764,0.70865,0.77957,0.47823,1.26863,0.96378,1.13991,0.000346736,0.000346736,0.000346736
10,347.075,1.37218,1.03633,1.11523,0.75623,0.71197,0.77927,0.48924,1.24373,0.92283,1.11733,0.000181703,0.000181703,0.000181703
